8596,0.9237209856929806,3,6792.333333333333,2247.644742589204,Lasioglossum
8468,0.9150280003347134,6,3788.0,1367.3746133862999,Lasioglossum
11997,0.9023480358590871,2,8983.0,2055.0,Osmia
35184,0.8927495467660892,3,3405.6666666666665,1573.098923215645,Lasioglossum
10754,0.949080980731542,6,4896.166666666667,2228.46639468093,Agapostemon
9097,0.8635390838472495,4,7947.5,1009.4933134994011,Osmia
8458,0.8890285666750373,3,7885.333333333333,1780.2813136006218,Osmia
4988,0.8443506051352307,5,1506.8,287.5102780771498,Lasioglossum
8733,0.6837805660827356,4,2095.0,831.5260068091677,Lasioglossum
4965,0.8955338304602353,5,3794.8,1932.521399622783,Megachile
12012,0.9353015358500905,6,6652.166666666667,4669.707179137562,Agapostemon
9545,0.9527917283165612,6,4728.833333333333,2210.678735642568,Agapostemon
13087,0.7597264433586355,9,2723.5555555555557,693.9923328284625,Lasioglossum
8181,0.952972294517371,10,3300.5,1933.4718125692964,Lasioglossum
10616,0.9513366807360004,5,5819.8,1837.9379097238298,Agapostemon
16597,0.9746288967999466,5,3535.8,1732.5033217861373,Lasioglossum
14312,0.8551110271406942,4,4973.5,2109.7944805122606,Lasioglossum
9881,0.9689426142531271,6,5075.166666666667,2726.0650161399712,Lasioglossum
7005,0.93768613309666,5,3800.4,1621.9777557044363,Lasioglossum
8940,0.9214491066179605,9,3482.5555555555557,1798.5463334538388,Lasioglossum
6302,0.8789796624624329,7,4283.285714285715,2150.966939659976,Agapostemon
7577,0.9369453523100552,7,4846.857142857143,3329.5081330675957,Lasioglossum
9410,0.98968290096053,4,3172.0,1152.6758000409309,Lasioglossum
8099,0.9470909365964439,4,4208.5,1960.7185545100551,Lasioglossum
9525,0.9114591907784985,3,7237.666666666667,1711.8240433980227,Megachile
10196,0.9451260139675403,7,4945.714285714285,2256.448582193185,Lasioglossum
12331,0.9768915554923645,9,3083.6666666666665,2824.180510441136,Lasioglossum
9274,0.8861660442346908,8,3492.125,2024.5913437963227,Lasioglossum
9037,0.9741472861921765,5,5350.6,2609.865789652794,Osmia
10970,0.9277845707955542,4,6749.0,874.829983482505,Lasioglossum
21999,0.8012956266255102,8,4364.375,2496.5354462484606,Lasioglossum
24378,0.4162863184231,5,2886.2,781.647337358735,Lasioglossum
21504,0.5272750521694956,6,3989.5,1722.9596387224706,Lasioglossum
19104,0.5130847715744695,5,3456.2,1962.9007514390535,Lasioglossum
10560,0.9464989672061105,6,5534.0,2429.631041948551,Lasioglossum
11362,0.9494751570918937,6,5002.0,1965.110259841247,Lasioglossum
17359,0.9337956874770487,3,6549.666666666667,3924.58272374982,Lasioglossum
8774,0.9096157268132459,8,2697.0,1690.0886071446077,Lasioglossum
9869,0.8522961066744347,5,6138.8,2086.494418875833,Osmia
12338,0.9100097931328526,8,4689.25,4062.689987865183,Lasioglossum
32288,0.8946750312323315,3,4395.0,1327.5081920651187,Lasioglossum
8936,0.9529205364735375,7,4829.857142857143,3015.609079845891,Osmia
36255,0.9326256333234655,4,3038.5,1386.4271527923852,Lasioglossum
9933,0.891098068005174,4,5488.5,558.6740999903253,Lasioglossum
19315,0.7974176914621287,6,4316.833333333333,1814.2196133752816,Lasioglossum
24365,0.6123119342201486,3,4497.666666666667,1859.0069631093072,Lasioglossum
9117,0.9609887365957974,5,6313.2,2072.660647573548,Osmia
9006,0.9454075523707673,6,4409.0,1749.7620790648464,Lasioglossum
8889,0.952848883550379,5,4081.6,2314.5004298984263,Agapostemon
13511,0.7473973646468811,10,3237.5,2030.2100014530515,Lasioglossum
12298,0.9198613534215668,5,5626.0,3878.309219234588,Osmia
14585,0.9504924927440105,6,5829.833333333333,3792.9614822135427,Lasioglossum
10999,0.9122522376406861,8,2291.125,795.2797365550061,Lasioglossum
5146,0.9405928970638197,6,1988.3333333333333,600.3920015752672,Lasioglossum
9844,0.9352372391306096,3,7512.666666666667,1193.2879879652783,Osmia
8524,0.9409776779477427,6,5206.833333333333,2938.661737178261,Lasioglossum
7598,0.9264806878409915,6,3774.1666666666665,1885.8908961608097,Bombus
5171,0.9213505084649202,4,4744.25,3830.228803544248,Lasioglossum
8680,0.9563125290823702,3,5422.0,1831.604214889232,Lasioglossum
18596,0.4627000857816192,3,2391.3333333333335,799.605041393701,Lasioglossum
7245,0.9397983320662217,5,3686.6,1614.7661874091864,Lasioglossum
21757,0.9241557269380929,6,6416.666666666667,3089.8732264537257,Lasioglossum
8751,0.9056540151727267,3,6379.666666666667,1386.5223482592057,Osmia
10835,0.8932733070006594,5,6462.0,1425.1870052733432,Megachile
24313,0.8879340505145638,8,2952.5,2203.9962000874684,Bombus
15027,0.7609101963993978,5,2078.6,589.6302570255364,Lasioglossum
10800,0.9596815562898057,5,5891.0,2896.736853771844,Osmia
9553,0.9105781733767728,3,7919.666666666667,1825.2405016569433,Osmia
6994,0.9798468774677345,4,6785.75,1164.1377442124278,Megachile
25513,0.5866079213604298,4,1954.0,1032.3340060271191,Lasioglossum
11961,0.9398526626748839,5,6732.6,2427.3888522443203,Lasioglossum
9519,0.8838996759057429,3,7715.0,1637.274768225134,Osmia
9253,0.9080079111070096,3,7653.0,1505.2590031840589,Osmia
12178,0.9931132801343633,6,3543.3333333333335,1696.2043574470094,Lasioglossum
12730,0.9228074168539824,10,2912.0,1525.0017704907755,Lasioglossum
7914,0.9618162965392888,6,5917.833333333333,2075.5575489224307,Osmia
9850,0.9374518084590755,4,8426.25,2942.344080405961,Lasioglossum
13366,0.9078355898733456,4,3658.25,3636.415843588299,Osmia
